Coefficient,Estimate,Est.Error,Q2.5,Q97.5
Intercept,4.26,0.93,2.44,6.09
density,0.06,0.06,-0.06,0.17
fungus,-0.67,1.30,-3.21,1.90
speciesS,-3.10,1.33,-5.67,-0.46
speciesC,-2.46,1.30,-4.99,0.11
IdensityE2,-2.08E-04,5.44E-04,-1.28E-03,8.56E-04
density:fungus,1.13E-03,0.08,-0.16,0.16
density:speciesS,0.11,0.08,-0.05,0.27
density:speciesC,0.11,0.08,-0.05,0.26
fungus:speciesS,1.36,1.87,-2.34,5.00
fungus:speciesC,1.21,1.83,-2.44,4.76
fungus:IdensityE2,3.13E-05,7.70E-04,-1.49E-03,1.54E-03
speciesS:IdensityE2,-1.06E-03,7.83E-04,-2.59E-03,5.09E-04
speciesC:IdensityE2,-7.62E-04,7.72E-04,-2.27E-03,7.38E-04
density:fungus:speciesS,0.01,0.12,-0.21,0.25
density:fungus:speciesC,-0.05,0.11,-0.27,0.17
fungus:speciesS:IdensityE2,-3.51E-04,1.11E-03,-2.57E-03,1.82E-03
fungus:speciesC:IdensityE2,7.07E-05,1.09E-03,-2.05E-03,2.20E-03
