Coefficient,Estimate,Est.Error,Q2.5,Q97.5
b0_spfungusCcontrol,2.104921653896622,0.1399835420952963,1.8247173656805935,2.384790126704298
b0_spfungusCinoculation,3.2975702774274867,0.13963953698356865,3.0224832096560523,3.5709189926981377
b0_spfungusScontrol,1.0152619396205533,0.13686582294302388,0.7479907468154883,1.2871674603452727
b0_spfungusSinoculation,0.8482813286018844,0.1362875403174682,0.5809034051504185,1.1175370085119296
b0_spfungusVcontrol,1.8899335174350176,0.14143111671053676,1.612150806281795,2.1652619677345184
b0_spfungusVinoculation,1.292431040209305,0.13599252633261913,1.0281170769918275,1.5602463596766039
alpha_spfungusCcontrol,1.9765762035721521,0.8897979591095556,0.929905674382555,4.268461302629944
alpha_spfungusCinoculation,2.007086938505656,0.5661142418930033,1.2118318277745794,3.3945043558918973
alpha_spfungusScontrol,2.9383559883213537,1.9140195142931207,0.7629292635328393,7.913125740680263
alpha_spfungusSinoculation,2.200605127577969,1.6981354503758181,0.44415501607347224,6.789700716785192
alpha_spfungusVcontrol,3.493033474128872,1.7399470973262732,1.4024411303262365,7.9926566933537675
alpha_spfungusVinoculation,2.492307025669715,1.546898100806803,0.7816851679667993,6.652428947810146
